occ_title,white,black,asian,hispanic,annual_salary
Precision Instrument and Equipment Repairers,0.948519949,0.967479675,1.938461538,0.647727273,51700
Flight Attendants,0.948519949,1.422764228,0.830769231,0.869318182,56230
"Production Workers, All Other",0.94980695,1.308943089,0.876923077,1.397727273,33830
Protective Service Occupations,0.951093951,1.650406504,0.338461538,0.869318182,49880
"Office Clerks, General",0.952380952,1.105691057,1.323076923,1.1875,36360
Bakers,0.952380952,0.951219512,1.476923077,1.744318182,29630
Refuse and Recyclable Material Collectors,0.952380952,1.479674797,0.553846154,1.6875,41400
Computer Support Specialists,0.954954955,0.853658537,1.953846154,0.642045455,59290
Miscellaneous Legal Support Workers,0.954954955,1.073170732,1.230769231,0.789772727,60690
"Human Resources Assistants, Except Payroll and Timekeeping",0.954954955,1.032520325,0.584615385,1.051136364,42620
Dentists,0.956241956,0.06504065,3.630769231,0.409090909,183060
Information Security Analysts,0.96010296,1.349593496,1.169230769,0.732954545,104210
Health Practitioner Support Technologists and Technicians,0.961389961,1.268292683,0.830769231,0.9375,37800
"Computer, Automated Teller, and Office Machine Repairers",0.961389961,0.951219512,1.430769231,0.903409091,42070
Helpers--Production Workers,0.963963964,1.398373984,0.615384615,1.721590909,30540
Purchasing Managers,0.966537967,1.170731707,0.907692308,0.568181818,128400
Medical Assistants,0.966537967,1.243902439,0.738461538,1.647727273,35720
Data Entry Keyers,0.966537967,1.195121951,1,1.153409091,34820
Loan Interviewers and Clerks,0.967824968,1.325203252,0.661538462,0.755681818,41960
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.967824968,1.406504065,0.046153846,0.789772727,37310
Driver/Sales Workers and Truck Drivers,0.967824968,1.471544715,0.446153846,1.164772727,42170
Postsecondary Teachers,0.969111969,0.569105691,2.323076923,0.471590909,90830
Healthcare Practitioners and Technical Occupations,0.969111969,1.016260163,1.476923077,0.511363636,83640
File Clerks,0.969111969,1.365853659,0.630769231,0.806818182,34610
Waiters and Waitresses,0.971685972,0.902439024,1.169230769,1.329545455,26800
Chemical Engineers,0.972972973,0.325203252,2.630769231,0.136363636,117090
Human Resources Workers,0.974259974,1.12195122,1.092307692,0.784090909,68200
Chemists and Materials Scientists,0.974259974,0.569105691,2.107692308,0.465909091,85360
Occupational Therapists,0.974259974,0.829268293,1.907692308,0.579545455,86210
Structural Iron and Steel Workers,0.974259974,0.951219512,1.2,1.0625,59170
Preschool and Kindergarten Teachers,0.975546976,1.276422764,0.8,0.846590909,40370
Receptionists and Information Clerks,0.975546976,1.25203252,0.707692308,1.238636364,31250
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.975546976,0.861788618,1.307692308,1.198863636,36650
Registered Nurses,0.976833977,1.008130081,1.415384615,0.409090909,77460
"Compensation, Benefits, and Job Analysis Specialists",0.978120978,1.544715447,0.569230769,0.340909091,69840
Childcare Workers,0.978120978,1.414634146,0.507692308,1.397727273,25510
Management Analysts,0.979407979,0.609756098,2.107692308,0.488636364,95560
Computer Network Architects,0.979407979,1.06504065,1.584615385,0.801136364,115110
Cleaners of Vehicles and Equipment,0.979407979,1.577235772,0.215384615,1.977272727,27940
Food Service Managers,0.981981982,0.796747967,1.476923077,1.125,59820
Physical Therapists,0.983268983,0.479674797,2.169230769,0.227272727,90170
Nurse Practitioners,0.985842986,0.991869919,1.523076923,0.147727273,111840
Office and Administrative Support Occupations,0.985842986,1.178861789,0.769230769,0.994318182,41040
Production Occupations,0.985842986,1.081300813,0.923076923,1.3125,40140
First-Line Supervisors of Food Preparation and Serving Workers,0.987129987,1.211382114,0.738461538,1.284090909,36960
"Life, Physical, and Social Science Occupations",0.98970399,0.512195122,2.215384615,0.539772727,77540
Security and Fire Alarm Systems Installers,0.98970399,1.162601626,0.707692308,1.335227273,50210
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",0.990990991,0.991869919,0.553846154,1.761363636,31710
Logisticians,0.992277992,1.260162602,0.415384615,0.465909091,78680
Accountants and Auditors,0.992277992,0.691056911,1.846153846,0.505681818,79520
Paralegals and Legal Assistants,0.992277992,0.959349593,1.030769231,1.005681818,55020
Dining Room and Cafeteria Attendants and Bartender Helpers,0.992277992,1.024390244,0.953846154,1.943181818,25020
Network and Computer Systems Administrators,0.993564994,0.788617886,1.8,0.482954545,88410
Training and Development Specialists,0.994851995,1.25203252,0.615384615,0.602272727,65640
Building and Grounds Cleaning and Maintenance Occupations,0.994851995,1.211382114,0.446153846,2.170454545,31250
"Hairdressers, Hairstylists, and Cosmetologists",0.994851995,1.130081301,0.938461538,0.965909091,31530
Tax Preparers,0.997425997,1.349593496,0.861538462,0.863636364,49550
Architecture and Engineering Occupations,0.997425997,0.552845528,2.046153846,0.522727273,88800
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.998712999,0.699186992,0.615384615,1.005681818,24010
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.998712999,0.93495935,0.830769231,0.994318182,43000
"Office and Administrative Support Workers, All Other",1,1.260162602,0.523076923,0.772727273,38290
Human Resources Managers,1.001287001,0.902439024,1.092307692,0.573863636,129570
Word Processors and Typists,1.001287001,1.024390244,0.507692308,0.914772727,41880
Dietitians and Nutritionists,1.002574003,1.235772358,0.907692308,0.511363636,62330
Aerospace Engineers,1.003861004,0.528455285,2.230769231,0.414772727,119220
"Library Assistants, Clerical",1.006435006,0.975609756,1.369230769,0.715909091,29820
Cutting Workers,1.007722008,1.528455285,0.384615385,1.431818182,36120
Business and Financial Operations Occupations,1.009009009,0.804878049,1.384615385,0.539772727,78130
Other Teachers and Instructors,1.009009009,0.951219512,0.938461538,0.659090909,40730
First-Line Supervisors of Housekeeping and Janitorial Workers,1.01029601,1.219512195,0.492307692,1.5625,44160
Retail Salespersons,1.015444015,1.008130081,0.692307692,1.0625,29360
Medical and Health Services Managers,1.016731017,1.032520325,0.876923077,0.670454545,115160
Clergy,1.018018018,0.991869919,0.907692308,0.4375,55190
"Models, Demonstrators, and Product Promoters",1.023166023,0.918699187,0.476923077,0.909090909,35360
Miscellaneous Entertainment Attendants and Related Workers,1.024453024,0.87804878,0.830769231,0.880681818,25090
Sales and Related Occupations,1.027027027,0.910569106,0.830769231,0.948863636,43060
Payroll and Timekeeping Clerks,1.027027027,0.682926829,1.061538462,1.017045455,47390
Social and Community Service Managers,1.028314028,1,0.492307692,0.602272727,72900
"Information and Record Clerks, All Other",1.028314028,1.089430894,0.353846154,1.295454545,42410
Tellers,1.02960103,0.804878049,0.738461538,1.136363636,31660
"Production, Planning, and Expediting Clerks",1.02960103,1.138211382,0.507692308,0.710227273,50640
Chemical Technicians,1.030888031,0.861788618,0.969230769,0.693181818,52910
Financial Managers,1.032175032,0.691056911,1.446153846,0.647727273,147530
First-Line Supervisors of Office and Administrative Support Workers,1.032175032,1.089430894,0.569230769,0.755681818,60130
Civil Engineers,1.033462033,0.479674797,1.876923077,0.477272727,94360
First-Line Supervisors of Production and Operating Workers,1.033462033,0.991869919,0.584615385,0.977272727,65220
Mechanical Engineers,1.034749035,0.414634146,1.784615385,0.477272727,93540
Operations Research Analysts,1.036036036,0.552845528,1.276923077,0.551136364,90600
Market Research Analysts and Marketing Specialists,1.037323037,0.479674797,1.753846154,0.409090909,71570
Compliance Officers,1.038610039,0.829268293,0.938461538,0.596590909,72850
"Industrial Engineers, Including Health and Safety",1.038610039,0.642276423,1.446153846,0.335227273,92830
Dispatchers,1.03989704,1.154471545,0.384615385,0.863636364,44170
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",1.03989704,0.926829268,0.292307692,1.482954545,38740
Lodging Managers,1.041184041,0.569105691,1.430769231,0.829545455,63570
Other Healthcare Practitioners and Technical Occupations,1.041184041,1.016260163,0.661538462,0.6875,56620
Biological Scientists,1.042471042,0.276422764,2.215384615,0.494318182,89100
First-Line Supervisors of Retail Sales Workers,1.042471042,0.772357724,0.846153846,0.835227273,45830
"Athletes, Coaches, Umpires, and Related Workers",1.043758044,0.756097561,0.661538462,0.613636364,46460
"Therapists, All Other",1.043758044,0.991869919,0.784615385,0.676136364,58600
Insurance Sales Agents,1.045045045,0.821138211,0.861538462,0.761363636,67780
Architectural and Engineering Managers,1.048906049,0.487804878,1.815384615,0.380681818,152930
"Judges, Magistrates, and Other Judicial Workers",1.048906049,1.089430894,0.738461538,0.488636364,113470
Billing and Posting Clerks,1.048906049,0.837398374,0.723076923,0.892045455,40620
Painting Workers,1.048906049,1.056910569,0.276923077,2.375,40820
Recreation and Fitness Workers,1.05019305,0.87804878,0.523076923,0.579545455,36830
Travel Agents,1.05019305,0.772357724,1.092307692,0.380681818,44690
"Court, Municipal, and License Clerks",1.05019305,1.178861789,0.184615385,0.982954545,42030
Credit Counselors and Loan Officers,1.051480051,0.991869919,0.646153846,0.659090909,73750
Advertising Sales Agents,1.054054054,0.87804878,0.569230769,0.778409091,64660
"Meeting, Convention, and Event Planners",1.055341055,0.715447154,1.138461538,0.676136364,54880
Construction and Building Inspectors,1.055341055,0.674796748,1.046153846,0.727272727,64390
Personal Financial Advisors,1.057915058,0.56097561,1.323076923,0.357954545,119290
Designers,1.057915058,0.463414634,1.384615385,0.625,51490
Telecommunications Line Installers and Repairers,1.057915058,1.016260163,0.353846154,1.403409091,59670
Tour and Travel Guides,1.059202059,0.138211382,0.846153846,0.301136364,30670
Aircraft Mechanics and Service Technicians,1.06048906,0.853658537,0.738461538,0.704545455,67110
"Architects, Except Naval",1.063063063,0.512195122,1.353846154,0.482954545,87060
Detectives and Criminal Investigators,1.064350064,1.032520325,0.292307692,0.477272727,86030
"Arts, Design, Entertainment, Sports, and Media Occupations",1.065637066,0.62601626,0.907692308,0.659090909,61960
Police and Sheriff's Patrol Officers,1.066924067,1.024390244,0.230769231,0.965909091,67600
Legal Occupations,1.068211068,0.674796748,0.938461538,0.539772727,109630
Physical Therapist Assistants and Aides,1.070785071,0.552845528,1,0.409090909,48630
"Financial Clerks, All Other",1.070785071,0.886178862,0.584615385,0.875,44740
Logging Workers,1.070785071,0.219512195,0.446153846,0.909090909,42620
Miscellaneous Plant and System Operators,1.070785071,0.943089431,0.6,0.835227273,68170
Management Occupations,1.075933076,0.634146341,0.938461538,0.607954545,122480
"Property, Real Estate, and Community Association Managers",1.075933076,0.723577236,0.692307692,0.727272727,71720
Public Relations Specialists,1.075933076,0.804878049,0.892307692,0.772727273,70190
Highway Maintenance Workers,1.075933076,1.032520325,0.061538462,0.755681818,42410
"Motor Vehicle Operators, All Other",1.075933076,0.861788618,0.846153846,1.056818182,37300
Automotive Service Technicians and Mechanics,1.078507079,0.707317073,0.492307692,1.573863636,44890
"Sales and Related Workers, All Other",1.07979408,0.861788618,0.169230769,0.789772727,40620
"Maintenance and Repair Workers, General",1.07979408,0.764227642,0.492307692,1.142045455,41960
"Installation, Maintenance, and Repair Occupations",1.081081081,0.739837398,0.507692308,1.153409091,50130
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1.081081081,0.739837398,0.461538462,1.147727273,51420
Technical Writers,1.083655084,0.959349593,0.446153846,0.5,76860
Photographers,1.084942085,0.699186992,0.538461538,0.698863636,45440
Physician Assistants,1.084942085,0.365853659,1.046153846,0.488636364,112410
Printing Press Operators,1.084942085,0.585365854,0.615384615,1.3125,39100
Stationary Engineers and Boiler Operators,1.084942085,0.422764228,0.846153846,0.556818182,65970
Water and Wastewater Treatment Plant and System Operators,1.088803089,0.682926829,0.538461538,0.551136364,50490
Elementary and Middle School Teachers,1.09009009,0.829268293,0.4,0.579545455,63820
Machinists,1.091377091,0.569105691,0.753846154,0.653409091,46120
Parts Salespersons,1.092664093,0.845528455,0.2,1.125,35220
Real Estate Brokers and Sales Agents,1.093951094,0.642276423,0.8,0.607954545,66100
"Transportation, Storage, and Distribution Managers",1.095238095,0.780487805,0.369230769,0.982954545,103320
Environmental Scientists and Geoscientists,1.095238095,0.390243902,1.138461538,0.704545455,85790
Operating Engineers and Other Construction Equipment Operators,1.095238095,0.723577236,0.138461538,0.846590909,54210
Special Education Teachers,1.096525097,0.74796748,0.538461538,0.369318182,65230
Pest Control Workers,1.096525097,0.691056911,0.246153846,1.051136364,39910
"Bookkeeping, Accounting, and Auditing Clerks",1.096525097,0.56097561,0.830769231,0.738636364,42960
Secretaries and Administrative Assistants,1.096525097,0.707317073,0.538461538,0.761363636,43410
Construction Laborers,1.097812098,0.699186992,0.246153846,2.653409091,41730
"Welding, Soldering, and Brazing Workers",1.097812098,0.715447154,0.353846154,1.295454545,44800
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.099099099,0.764227642,0.184615385,1.414772727,35150
Dental Assistants,1.1003861,0.544715447,0.476923077,1.642045455,41170
"First-Line Supervisors of Mechanics, Installers, and Repairers",1.102960103,0.804878049,0.230769231,0.914772727,70550
"Securities, Commodities, and Financial Services Sales Agents",1.105534106,0.43902439,1.153846154,0.676136364,93090
Grounds Maintenance Workers,1.106821107,0.666666667,0.138461538,2.477272727,33100
Marketing and Sales Managers,1.108108108,0.495934959,0.861538462,0.505681818,144660
Chiropractors,1.108108108,0.227642276,0.815384615,0.363636364,85010
Bartenders,1.108108108,0.512195122,0.430769231,0.9375,28000
First-Line Supervisors of Non-Retail Sales Workers,1.109395109,0.528455285,0.876923077,0.818181818,86180
Surveying and Mapping Technicians,1.110682111,0.536585366,0.538461538,0.619318182,48500
Home Appliance Repairers,1.110682111,0.951219512,0.276923077,1.068181818,42400
General and Operations Managers,1.111969112,0.536585366,0.538461538,0.710227273,123030
Lawyers,1.114543115,0.479674797,0.876923077,0.329545455,145300
Emergency Medical Technicians and Paramedics,1.114543115,0.853658537,0.123076923,0.653409091,38830
"Helpers, Construction Trades",1.114543115,0.276422764,0.692307692,2,34300
Producers and Directors,1.115830116,0.520325203,0.538461538,0.454545455,93940
Firefighters,1.115830116,0.691056911,0.2,0.659090909,54650
Animal Trainers,1.115830116,0.37398374,0.307692308,0.698863636,36240
Artists and Related Workers,1.117117117,0.365853659,0.584615385,0.630681818,89470
"Chemical Processing Machine Setters, Operators, and Tenders",1.117117117,0.894308943,0.153846154,0.460227273,49250
Insurance Underwriters,1.11969112,0.479674797,0.830769231,0.352272727,77640
Secondary School Teachers,1.120978121,0.593495935,0.507692308,0.5,65850
Construction and Extraction Occupations,1.120978121,0.593495935,0.246153846,2.068181818,52580
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1.120978121,0.682926829,0.138461538,1.539772727,58570
Industrial Production Managers,1.122265122,0.43902439,0.846153846,0.619318182,115110
Bus and Truck Mechanics and Diesel Engine Specialists,1.123552124,0.528455285,0.569230769,0.801136364,50360
Electricians,1.124839125,0.552845528,0.4,1.198863636,60370
"Painters, Construction and Maintenance",1.124839125,0.658536585,0.092307692,3.153409091,44640
Roofers,1.128700129,0.422764228,0.107692308,2.880681818,45820
Food Batchmakers,1.131274131,0.593495935,0.246153846,2.056818182,33120
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.132561133,0.609756098,0.169230769,1.596590909,52340
First-Line Supervisors of Construction Trades and Extraction Workers,1.132561133,0.609756098,0.184615385,1.409090909,71440
Dental Hygienists,1.135135135,0.414634146,0.769230769,0.642045455,77230
Cabinetmakers and Bench Carpenters,1.135135135,0.62601626,0.169230769,1.210227273,37620
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,1.136422136,0.487804878,0.4,0.897727273,53140
Chief Executives,1.142857143,0.333333333,0.892307692,0.352272727,193850
"Sales Representatives, Wholesale and Manufacturing",1.142857143,0.479674797,0.6,0.619318182,75180
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1.142857143,0.097560976,0.2,1.613636364,52520
Millwrights,1.144144144,0.642276423,0.276923077,0.585227273,57050
Carpenters,1.146718147,0.414634146,0.230769231,2.119318182,52850
Sheet Metal Workers,1.146718147,0.544715447,0.353846154,1.642045455,54480
First-Line Supervisors of Police and Detectives,1.148005148,0.617886179,0.061538462,0.318181818,94950
Fundraisers,1.149292149,0.414634146,0.384615385,0.295454545,62830
"Farming, Fishing, and Forestry Occupations",1.149292149,0.357723577,0.276923077,2.704545455,31340
Advertising and Promotions Managers,1.151866152,0.056910569,1.076923077,0.511363636,141890
"Cement Masons, Concrete Finishers, and Terrazzo Workers",1.151866152,0.357723577,0.169230769,3.039772727,48450
"Religious Workers, All Other",1.153153153,0.414634146,0.723076923,0.471590909,39830
Writers and Authors,1.153153153,0.479674797,0.523076923,0.272727273,73860
Public Relations and Fundraising Managers,1.155727156,0.650406504,0.061538462,0.079545455,132630
Veterinarians,1.155727156,0,0.938461538,0.090909091,104820
Electrical Power-Line Installers and Repairers,1.155727156,0.243902439,0.092307692,0.875,71960
Psychologists,1.157014157,0.471544715,0.538461538,0.585227273,88770
Cost Estimators,1.158301158,0.25203252,0.892307692,0.460227273,71350
Crane and Tower Operators,1.15958816,0.512195122,0,0.602272727,60530
Drafters,1.168597169,0.284552846,0.415384615,0.835227273,59480
"Carpet, Floor, and Tile Installers and Finishers",1.168597169,0.414634146,0.076923077,3.392045455,46680
Construction Managers,1.16988417,0.284552846,0.384615385,0.789772727,105000
"Drywall Installers, Ceiling Tile Installers, and Tapers",1.172458172,0.203252033,0.261538462,3.846590909,52190
Editors,1.175032175,0.243902439,0.369230769,0.602272727,71910
"Brickmasons, Blockmasons, and Stonemasons",1.178893179,0.422764228,0.184615385,2.142045455,55040
Insulation Workers,1.181467181,0.479674797,0.215384615,2.460227273,49090
"Directors, Religious Activities and Education",1.187902188,0.414634146,0.353846154,0.761363636,50490
Automotive Body and Related Repairers,1.189189189,0.276422764,0.276923077,1.681818182,47390
Miscellaneous Agricultural Workers,1.19047619,0.211382114,0.184615385,3.068181818,28510
Speech-Language Pathologists,1.205920206,0.317073171,0.338461538,0.380681818,82000
Aircraft Pilots and Flight Engineers,1.205920206,0.211382114,0.523076923,0.125,152610
Tool and Die Makers,1.223938224,0.300813008,0.046153846,0.193181818,54980
"Farmers, Ranchers, and Other Agricultural Managers",1.243243243,0.073170732,0.153846154,0.323863636,80360
Veterinary Assistants and Laboratory Animal Caretakers,1.250965251,0.170731707,0.061538462,0.210227273,29690
