occ_title,employed,race,annual_salary
Accountants and Auditors,0.992277992,white,79520
Paralegals and Legal Assistants,0.992277992,white,55020
Dining Room and Cafeteria Attendants and Bartender Helpers,0.992277992,white,25020
Network and Computer Systems Administrators,0.993564994,white,88410
Training and Development Specialists,0.994851995,white,65640
Building and Grounds Cleaning and Maintenance Occupations,0.994851995,white,31250
"Hairdressers, Hairstylists, and Cosmetologists",0.994851995,white,31530
Tax Preparers,0.997425997,white,49550
Architecture and Engineering Occupations,0.997425997,white,88800
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.998712999,white,24010
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.998712999,white,43000
"Office and Administrative Support Workers, All Other",1,white,38290
Human Resources Managers,1.001287001,white,129570
Word Processors and Typists,1.001287001,white,41880
Dietitians and Nutritionists,1.002574003,white,62330
Aerospace Engineers,1.003861004,white,119220
"Library Assistants, Clerical",1.006435006,white,29820
Cutting Workers,1.007722008,white,36120
Business and Financial Operations Occupations,1.009009009,white,78130
Other Teachers and Instructors,1.009009009,white,40730
First-Line Supervisors of Housekeeping and Janitorial Workers,1.01029601,white,44160
Retail Salespersons,1.015444015,white,29360
Medical and Health Services Managers,1.016731017,white,115160
Clergy,1.018018018,white,55190
"Models, Demonstrators, and Product Promoters",1.023166023,white,35360
Miscellaneous Entertainment Attendants and Related Workers,1.024453024,white,25090
Sales and Related Occupations,1.027027027,white,43060
Payroll and Timekeeping Clerks,1.027027027,white,47390
Social and Community Service Managers,1.028314028,white,72900
"Information and Record Clerks, All Other",1.028314028,white,42410
Tellers,1.02960103,white,31660
"Production, Planning, and Expediting Clerks",1.02960103,white,50640
Chemical Technicians,1.030888031,white,52910
Financial Managers,1.032175032,white,147530
First-Line Supervisors of Office and Administrative Support Workers,1.032175032,white,60130
Civil Engineers,1.033462033,white,94360
First-Line Supervisors of Production and Operating Workers,1.033462033,white,65220
Mechanical Engineers,1.034749035,white,93540
Operations Research Analysts,1.036036036,white,90600
Market Research Analysts and Marketing Specialists,1.037323037,white,71570
Compliance Officers,1.038610039,white,72850
"Industrial Engineers, Including Health and Safety",1.038610039,white,92830
Dispatchers,1.03989704,white,44170
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",1.03989704,white,38740
Lodging Managers,1.041184041,white,63570
Other Healthcare Practitioners and Technical Occupations,1.041184041,white,56620
Biological Scientists,1.042471042,white,89100
First-Line Supervisors of Retail Sales Workers,1.042471042,white,45830
"Athletes, Coaches, Umpires, and Related Workers",1.043758044,white,46460
"Therapists, All Other",1.043758044,white,58600
Insurance Sales Agents,1.045045045,white,67780
Architectural and Engineering Managers,1.048906049,white,152930
"Judges, Magistrates, and Other Judicial Workers",1.048906049,white,113470
Billing and Posting Clerks,1.048906049,white,40620
Painting Workers,1.048906049,white,40820
Recreation and Fitness Workers,1.05019305,white,36830
Travel Agents,1.05019305,white,44690
"Court, Municipal, and License Clerks",1.05019305,white,42030
Credit Counselors and Loan Officers,1.051480051,white,73750
Advertising Sales Agents,1.054054054,white,64660
"Meeting, Convention, and Event Planners",1.055341055,white,54880
Construction and Building Inspectors,1.055341055,white,64390
Personal Financial Advisors,1.057915058,white,119290
Designers,1.057915058,white,51490
Telecommunications Line Installers and Repairers,1.057915058,white,59670
Tour and Travel Guides,1.059202059,white,30670
Aircraft Mechanics and Service Technicians,1.06048906,white,67110
"Architects, Except Naval",1.063063063,white,87060
Detectives and Criminal Investigators,1.064350064,white,86030
"Arts, Design, Entertainment, Sports, and Media Occupations",1.065637066,white,61960
Police and Sheriff's Patrol Officers,1.066924067,white,67600
Legal Occupations,1.068211068,white,109630
Physical Therapist Assistants and Aides,1.070785071,white,48630
"Financial Clerks, All Other",1.070785071,white,44740
Logging Workers,1.070785071,white,42620
Miscellaneous Plant and System Operators,1.070785071,white,68170
Management Occupations,1.075933076,white,122480
"Property, Real Estate, and Community Association Managers",1.075933076,white,71720
Public Relations Specialists,1.075933076,white,70190
Highway Maintenance Workers,1.075933076,white,42410
"Motor Vehicle Operators, All Other",1.075933076,white,37300
Automotive Service Technicians and Mechanics,1.078507079,white,44890
"Sales and Related Workers, All Other",1.07979408,white,40620
"Maintenance and Repair Workers, General",1.07979408,white,41960
"Installation, Maintenance, and Repair Occupations",1.081081081,white,50130
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1.081081081,white,51420
Technical Writers,1.083655084,white,76860
Photographers,1.084942085,white,45440
Physician Assistants,1.084942085,white,112410
Printing Press Operators,1.084942085,white,39100
Stationary Engineers and Boiler Operators,1.084942085,white,65970
Water and Wastewater Treatment Plant and System Operators,1.088803089,white,50490
Elementary and Middle School Teachers,1.09009009,white,63820
Machinists,1.091377091,white,46120
Parts Salespersons,1.092664093,white,35220
Real Estate Brokers and Sales Agents,1.093951094,white,66100
"Transportation, Storage, and Distribution Managers",1.095238095,white,103320
Environmental Scientists and Geoscientists,1.095238095,white,85790
Operating Engineers and Other Construction Equipment Operators,1.095238095,white,54210
Special Education Teachers,1.096525097,white,65230
Pest Control Workers,1.096525097,white,39910
"Bookkeeping, Accounting, and Auditing Clerks",1.096525097,white,42960
Secretaries and Administrative Assistants,1.096525097,white,43410
Construction Laborers,1.097812098,white,41730
"Welding, Soldering, and Brazing Workers",1.097812098,white,44800
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.099099099,white,35150
Dental Assistants,1.1003861,white,41170
"First-Line Supervisors of Mechanics, Installers, and Repairers",1.102960103,white,70550
"Securities, Commodities, and Financial Services Sales Agents",1.105534106,white,93090
Grounds Maintenance Workers,1.106821107,white,33100
Marketing and Sales Managers,1.108108108,white,144660
Chiropractors,1.108108108,white,85010
Bartenders,1.108108108,white,28000
First-Line Supervisors of Non-Retail Sales Workers,1.109395109,white,86180
Surveying and Mapping Technicians,1.110682111,white,48500
Home Appliance Repairers,1.110682111,white,42400
General and Operations Managers,1.111969112,white,123030
Lawyers,1.114543115,white,145300
Emergency Medical Technicians and Paramedics,1.114543115,white,38830
"Helpers, Construction Trades",1.114543115,white,34300
Producers and Directors,1.115830116,white,93940
Firefighters,1.115830116,white,54650
Animal Trainers,1.115830116,white,36240
Artists and Related Workers,1.117117117,white,89470
"Chemical Processing Machine Setters, Operators, and Tenders",1.117117117,white,49250
Insurance Underwriters,1.11969112,white,77640
Secondary School Teachers,1.120978121,white,65850
Construction and Extraction Occupations,1.120978121,white,52580
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1.120978121,white,58570
Industrial Production Managers,1.122265122,white,115110
Bus and Truck Mechanics and Diesel Engine Specialists,1.123552124,white,50360
Electricians,1.124839125,white,60370
"Painters, Construction and Maintenance",1.124839125,white,44640
Roofers,1.128700129,white,45820
Food Batchmakers,1.131274131,white,33120
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.132561133,white,52340
First-Line Supervisors of Construction Trades and Extraction Workers,1.132561133,white,71440
Dental Hygienists,1.135135135,white,77230
Cabinetmakers and Bench Carpenters,1.135135135,white,37620
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,1.136422136,white,53140
Chief Executives,1.142857143,white,193850
"Sales Representatives, Wholesale and Manufacturing",1.142857143,white,75180
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1.142857143,white,52520
Millwrights,1.144144144,white,57050
Carpenters,1.146718147,white,52850
Sheet Metal Workers,1.146718147,white,54480
First-Line Supervisors of Police and Detectives,1.148005148,white,94950
Fundraisers,1.149292149,white,62830
"Farming, Fishing, and Forestry Occupations",1.149292149,white,31340
Advertising and Promotions Managers,1.151866152,white,141890
"Cement Masons, Concrete Finishers, and Terrazzo Workers",1.151866152,white,48450
"Religious Workers, All Other",1.153153153,white,39830
Writers and Authors,1.153153153,white,73860
Public Relations and Fundraising Managers,1.155727156,white,132630
Veterinarians,1.155727156,white,104820
Electrical Power-Line Installers and Repairers,1.155727156,white,71960
Psychologists,1.157014157,white,88770
Cost Estimators,1.158301158,white,71350
Crane and Tower Operators,1.15958816,white,60530
Drafters,1.168597169,white,59480
"Carpet, Floor, and Tile Installers and Finishers",1.168597169,white,46680
Construction Managers,1.16988417,white,105000
"Drywall Installers, Ceiling Tile Installers, and Tapers",1.172458172,white,52190
Editors,1.175032175,white,71910
"Brickmasons, Blockmasons, and Stonemasons",1.178893179,white,55040
Insulation Workers,1.181467181,white,49090
"Directors, Religious Activities and Education",1.187902188,white,50490
Automotive Body and Related Repairers,1.189189189,white,47390
Miscellaneous Agricultural Workers,1.19047619,white,28510
Speech-Language Pathologists,1.205920206,white,82000
Aircraft Pilots and Flight Engineers,1.205920206,white,152610
Tool and Die Makers,1.223938224,white,54980
"Farmers, Ranchers, and Other Agricultural Managers",1.243243243,white,80360
Veterinary Assistants and Laboratory Animal Caretakers,1.250965251,white,29690
Miscellaneous Personal Appearance Workers,0.62601626,black,31660
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3.43902439,black,51190
Postal Service Clerks,2.910569106,black,50610
Reservation and Transportation Ticket Agents and Travel Clerks,2.268292683,black,44390
Computer Hardware Engineers,0.463414634,black,123030
Laundry and Dry-Cleaning Workers,2.040650407,black,25420
"Baggage Porters, Bellhops, and Concierges",2.130081301,black,31330
"Tax Examiners and Collectors, and Revenue Agents",2.097560976,black,60960
"Bailiffs, Correctional Officers, and Jailers",2.780487805,black,50210
"Hotel, Motel, and Resort Desk Clerks",1.756097561,black,25950
Barbers,2.528455285,black,35190
Chefs and Head Cooks,1.162601626,black,56310
Bill and Account Collectors,2.455284553,black,39300
Medical Scientists,0.593495935,black,97650
Healthcare Support Occupations,2.170731707,black,31010
Pharmacists,0.853658537,black,125510
"Electrical, Electronics, and Electromechanical Assemblers",0.650406504,black,37010
Budget Analysts,1.569105691,black,80300
Social and Human Service Assistants,2.073170732,black,37050
Computer and Mathematical Occupations,0.707317073,black,93760
Respiratory Therapists,1.886178862,black,63950
"Tailors, Dressmakers, and Sewers",0.772357724,black,33950
Railroad Conductors and Yardmasters,1.951219512,black,68350
Order Clerks,1.479674797,black,36600
Licensed Practical and Licensed Vocational Nurses,2.195121951,black,48500
Miscellaneous Assemblers and Fabricators,1.601626016,black,34800
Statistical Assistants,0,black,51640
"Mail Clerks and Mail Machine Operators, Except Postal Service",1.951219512,black,32620
Computer Systems Analysts,0.788617886,black,96160
Computer Programmers,0.691056911,black,92610
Miscellaneous Media and Communication Workers,1.18699187,black,57170
"Physical Scientists, All Other",0.276422764,black,112070
"Food Servers, Nonrestaurant",1.56097561,black,26080
Packaging and Filling Machine Operators and Tenders,1.658536585,black,33590
Automotive and Watercraft Service Attendants,0.983739837,black,26860
Industrial Truck and Tractor Operators,2.097560976,black,37930
Cashiers,1.455284553,black,24400
Cashiers,1.455284553,black,24400
"Packers and Packagers, Hand",1.544715447,black,27680
Sewing Machine Operators,0.894308943,black,28000
Personal Care and Service Occupations,1.308943089,black,31260
Statisticians,0.666666667,black,95680
Social Workers,1.869918699,black,54190
"Eligibility Interviewers, Government Programs",1.804878049,black,47110
Cooks,1.471544715,black,27550
"Computer Occupations, All Other",1.032520325,black,92410
Phlebotomists,2,black,36480
Probation Officers and Correctional Treatment Specialists,2.170731707,black,59910
Clinical Laboratory Technologists and Technicians,1.243902439,black,54780
"Graders and Sorters, Agricultural Products",1.731707317,black,27570
"Butchers and Other Meat, Poultry, and Fish Processing Workers",1.390243902,black,30920
Electrical and Electronics Engineers,0.593495935,black,106240
Insurance Claims and Policy Processing Clerks,1.772357724,black,43280
"Engineers, All Other",0.43902439,black,102460
"Metal Workers and Plastic Workers, All Other",1.178861789,black,37790
"Food Processing Workers, All Other",1.471544715,black,28820
Maids and Housekeeping Cleaners,1.414634146,black,26810
Transportation and Material Moving Occupations,1.62601626,black,37920
Supervisors of Transportation and Material Moving Workers,1.577235772,black,57850
Massage Therapists,0.715447154,black,47180
"Laborers and Freight, Stock, and Material Movers, Hand",1.609756098,black,32130
Private Detectives and Investigators,1.910569106,black,57000
Computer and Information Systems Managers,0.780487805,black,156390
Counselors,1.723577236,black,53120
Postal Service Mail Carriers,1.593495935,black,52180
"Miscellaneous Life, Physical, and Social Science Technicians",0.699186992,black,55610
Counter and Rental Clerks,1.487804878,black,32600
Community and Social Service Occupations,1.634146341,black,50480
"Interviewers, Except Eligibility and Loan",1.471544715,black,36390
Radio and Telecommunications Equipment Installers and Repairers,1.284552846,black,58510
Customer Service Representatives,1.43902439,black,37320
Couriers and Messengers,1.414634146,black,31640
Dishwashers,1.308943089,black,24410
Food Preparation Workers,1.073170732,black,25820
"Claims Adjusters, Appraisers, Examiners, and Investigators",1.585365854,black,68820
Food Preparation and Serving Related Occupations,1.130081301,black,26670
Precision Instrument and Equipment Repairers,0.967479675,black,51700
Flight Attendants,1.422764228,black,56230
"Production Workers, All Other",1.308943089,black,33830
Protective Service Occupations,1.650406504,black,49880
"Office Clerks, General",1.105691057,black,36360
Bakers,0.951219512,black,29630
Refuse and Recyclable Material Collectors,1.479674797,black,41400
Computer Support Specialists,0.853658537,black,59290
Miscellaneous Legal Support Workers,1.073170732,black,60690
"Human Resources Assistants, Except Payroll and Timekeeping",1.032520325,black,42620
Dentists,0.06504065,black,183060
Information Security Analysts,1.349593496,black,104210
Health Practitioner Support Technologists and Technicians,1.268292683,black,37800
"Computer, Automated Teller, and Office Machine Repairers",0.951219512,black,42070
Helpers--Production Workers,1.398373984,black,30540
Purchasing Managers,1.170731707,black,128400
Medical Assistants,1.243902439,black,35720
Data Entry Keyers,1.195121951,black,34820
Loan Interviewers and Clerks,1.325203252,black,41960
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1.406504065,black,37310
Driver/Sales Workers and Truck Drivers,1.471544715,black,42170
Postsecondary Teachers,0.569105691,black,90830
Healthcare Practitioners and Technical Occupations,1.016260163,black,83640
File Clerks,1.365853659,black,34610
Waiters and Waitresses,0.902439024,black,26800
Chemical Engineers,0.325203252,black,117090
Human Resources Workers,1.12195122,black,68200
Chemists and Materials Scientists,0.569105691,black,85360
Occupational Therapists,0.829268293,black,86210
Structural Iron and Steel Workers,0.951219512,black,59170
Preschool and Kindergarten Teachers,1.276422764,black,40370
Receptionists and Information Clerks,1.25203252,black,31250
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.861788618,black,36650
Registered Nurses,1.008130081,black,77460
"Compensation, Benefits, and Job Analysis Specialists",1.544715447,black,69840
Childcare Workers,1.414634146,black,25510
Management Analysts,0.609756098,black,95560
Computer Network Architects,1.06504065,black,115110
Cleaners of Vehicles and Equipment,1.577235772,black,27940
Food Service Managers,0.796747967,black,59820
Physical Therapists,0.479674797,black,90170
Nurse Practitioners,0.991869919,black,111840
Office and Administrative Support Occupations,1.178861789,black,41040
Production Occupations,1.081300813,black,40140
First-Line Supervisors of Food Preparation and Serving Workers,1.211382114,black,36960
"Life, Physical, and Social Science Occupations",0.512195122,black,77540
Security and Fire Alarm Systems Installers,1.162601626,black,50210
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",0.991869919,black,31710
Logisticians,1.260162602,black,78680
Accountants and Auditors,0.691056911,black,79520
Paralegals and Legal Assistants,0.959349593,black,55020
Dining Room and Cafeteria Attendants and Bartender Helpers,1.024390244,black,25020
Network and Computer Systems Administrators,0.788617886,black,88410
Training and Development Specialists,1.25203252,black,65640
Building and Grounds Cleaning and Maintenance Occupations,1.211382114,black,31250
"Hairdressers, Hairstylists, and Cosmetologists",1.130081301,black,31530
Tax Preparers,1.349593496,black,49550
Architecture and Engineering Occupations,0.552845528,black,88800
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.699186992,black,24010
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.93495935,black,43000
"Office and Administrative Support Workers, All Other",1.260162602,black,38290
Human Resources Managers,0.902439024,black,129570
Word Processors and Typists,1.024390244,black,41880
Dietitians and Nutritionists,1.235772358,black,62330
Aerospace Engineers,0.528455285,black,119220
"Library Assistants, Clerical",0.975609756,black,29820
Cutting Workers,1.528455285,black,36120
Business and Financial Operations Occupations,0.804878049,black,78130
Other Teachers and Instructors,0.951219512,black,40730
First-Line Supervisors of Housekeeping and Janitorial Workers,1.219512195,black,44160
Retail Salespersons,1.008130081,black,29360
Medical and Health Services Managers,1.032520325,black,115160
Clergy,0.991869919,black,55190
"Models, Demonstrators, and Product Promoters",0.918699187,black,35360
Miscellaneous Entertainment Attendants and Related Workers,0.87804878,black,25090
Sales and Related Occupations,0.910569106,black,43060
Payroll and Timekeeping Clerks,0.682926829,black,47390
Social and Community Service Managers,1,black,72900
"Information and Record Clerks, All Other",1.089430894,black,42410
Tellers,0.804878049,black,31660
"Production, Planning, and Expediting Clerks",1.138211382,black,50640
Chemical Technicians,0.861788618,black,52910
Financial Managers,0.691056911,black,147530
First-Line Supervisors of Office and Administrative Support Workers,1.089430894,black,60130
Civil Engineers,0.479674797,black,94360
First-Line Supervisors of Production and Operating Workers,0.991869919,black,65220
Mechanical Engineers,0.414634146,black,93540
Operations Research Analysts,0.552845528,black,90600
Market Research Analysts and Marketing Specialists,0.479674797,black,71570
Compliance Officers,0.829268293,black,72850
"Industrial Engineers, Including Health and Safety",0.642276423,black,92830
Dispatchers,1.154471545,black,44170
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",0.926829268,black,38740
Lodging Managers,0.569105691,black,63570
Other Healthcare Practitioners and Technical Occupations,1.016260163,black,56620
Biological Scientists,0.276422764,black,89100
First-Line Supervisors of Retail Sales Workers,0.772357724,black,45830
"Athletes, Coaches, Umpires, and Related Workers",0.756097561,black,46460
"Therapists, All Other",0.991869919,black,58600
Insurance Sales Agents,0.821138211,black,67780
Architectural and Engineering Managers,0.487804878,black,152930
"Judges, Magistrates, and Other Judicial Workers",1.089430894,black,113470
Billing and Posting Clerks,0.837398374,black,40620
Painting Workers,1.056910569,black,40820
Recreation and Fitness Workers,0.87804878,black,36830
Travel Agents,0.772357724,black,44690
"Court, Municipal, and License Clerks",1.178861789,black,42030
Credit Counselors and Loan Officers,0.991869919,black,73750
Advertising Sales Agents,0.87804878,black,64660
"Meeting, Convention, and Event Planners",0.715447154,black,54880
Construction and Building Inspectors,0.674796748,black,64390
Personal Financial Advisors,0.56097561,black,119290
Designers,0.463414634,black,51490
Telecommunications Line Installers and Repairers,1.016260163,black,59670
Tour and Travel Guides,0.138211382,black,30670
Aircraft Mechanics and Service Technicians,0.853658537,black,67110
"Architects, Except Naval",0.512195122,black,87060
Detectives and Criminal Investigators,1.032520325,black,86030
"Arts, Design, Entertainment, Sports, and Media Occupations",0.62601626,black,61960
Police and Sheriff's Patrol Officers,1.024390244,black,67600
Legal Occupations,0.674796748,black,109630
Physical Therapist Assistants and Aides,0.552845528,black,48630
"Financial Clerks, All Other",0.886178862,black,44740
Logging Workers,0.219512195,black,42620
Miscellaneous Plant and System Operators,0.943089431,black,68170
Management Occupations,0.634146341,black,122480
"Property, Real Estate, and Community Association Managers",0.723577236,black,71720
Public Relations Specialists,0.804878049,black,70190
Highway Maintenance Workers,1.032520325,black,42410
"Motor Vehicle Operators, All Other",0.861788618,black,37300
Automotive Service Technicians and Mechanics,0.707317073,black,44890
"Sales and Related Workers, All Other",0.861788618,black,40620
"Maintenance and Repair Workers, General",0.764227642,black,41960
"Installation, Maintenance, and Repair Occupations",0.739837398,black,50130
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.739837398,black,51420
Technical Writers,0.959349593,black,76860
Photographers,0.699186992,black,45440
Physician Assistants,0.365853659,black,112410
Printing Press Operators,0.585365854,black,39100
Stationary Engineers and Boiler Operators,0.422764228,black,65970
Water and Wastewater Treatment Plant and System Operators,0.682926829,black,50490
Elementary and Middle School Teachers,0.829268293,black,63820
Machinists,0.569105691,black,46120
Parts Salespersons,0.845528455,black,35220
Real Estate Brokers and Sales Agents,0.642276423,black,66100
"Transportation, Storage, and Distribution Managers",0.780487805,black,103320
Environmental Scientists and Geoscientists,0.390243902,black,85790
Operating Engineers and Other Construction Equipment Operators,0.723577236,black,54210
Special Education Teachers,0.74796748,black,65230
Pest Control Workers,0.691056911,black,39910
"Bookkeeping, Accounting, and Auditing Clerks",0.56097561,black,42960
Secretaries and Administrative Assistants,0.707317073,black,43410
Construction Laborers,0.699186992,black,41730
"Welding, Soldering, and Brazing Workers",0.715447154,black,44800
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.764227642,black,35150
Dental Assistants,0.544715447,black,41170
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.804878049,black,70550
"Securities, Commodities, and Financial Services Sales Agents",0.43902439,black,93090
Grounds Maintenance Workers,0.666666667,black,33100
Marketing and Sales Managers,0.495934959,black,144660
Chiropractors,0.227642276,black,85010
Bartenders,0.512195122,black,28000
First-Line Supervisors of Non-Retail Sales Workers,0.528455285,black,86180
Surveying and Mapping Technicians,0.536585366,black,48500
Home Appliance Repairers,0.951219512,black,42400
General and Operations Managers,0.536585366,black,123030
Lawyers,0.479674797,black,145300
Emergency Medical Technicians and Paramedics,0.853658537,black,38830
"Helpers, Construction Trades",0.276422764,black,34300
Producers and Directors,0.520325203,black,93940
Firefighters,0.691056911,black,54650
Animal Trainers,0.37398374,black,36240
Artists and Related Workers,0.365853659,black,89470
"Chemical Processing Machine Setters, Operators, and Tenders",0.894308943,black,49250
Insurance Underwriters,0.479674797,black,77640
Secondary School Teachers,0.593495935,black,65850
